PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Actual,Pred_Baseline (prior),Pred_Logistic Regression,Pred_Decision Tree,Pred_Random Forest,Pred_Hist Gradient Boosting
439.2,345.4,147.4,5.5,175.3,41.5,3.03,84.5,177.7,Poor,Very Poor,Poor,Poor,Poor,Poor
304.5,243.1,118.3,103.2,50.7,16.7,1.53,92.2,150.0,Severe,Very Poor,Poor,Severe,Severe,Severe
470.5,547.1,174.7,11.6,15.7,1.5,0.61,57.1,32.9,Satisfactory,Very Poor,Good,Satisfactory,Satisfactory,Satisfactory
110.5,577.9,72.7,108.7,28.6,34.6,8.03,57.4,111.2,Poor,Very Poor,Severe,Poor,Poor,Poor
76.1,366.3,172.7,27.9,138.6,23.4,7.13,99.1,96.8,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
97.8,399.5,82.1,101.7,3.0,42.1,7.52,1.1,133.6,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
186.3,479.8,158.4,4.8,59.7,1.7,2.88,29.1,25.5,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
230.3,511.3,155.5,84.1,20.7,5.5,4.91,94.7,188.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
151.1,583.0,36.6,78.8,184.8,25.0,8.3,60.8,91.6,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
442.4,560.7,19.1,106.5,56.8,33.6,0.48,98.6,89.0,Moderate,Very Poor,Severe,Moderate,Moderate,Severe
482.4,359.8,17.2,145.5,240.7,9.0,7.6,44.1,87.7,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
129.3,488.3,165.2,39.4,230.3,23.9,4.46,99.7,165.8,Severe,Very Poor,Poor,Severe,Severe,Severe
155.2,318.2,14.2,34.2,224.9,25.4,9.55,16.5,25.5,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
148.3,99.7,80.0,2.9,117.8,0.2,3.47,7.4,148.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
25.9,15.4,45.5,68.2,61.0,38.9,2.25,6.8,175.6,Poor,Very Poor,Poor,Poor,Poor,Poor
87.9,90.7,98.5,111.0,84.5,45.3,4.94,7.7,70.1,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
211.4,458.2,133.8,112.0,64.1,21.6,2.24,44.7,108.8,Severe,Very Poor,Severe,Severe,Severe,Severe
354.9,540.6,57.4,77.4,81.8,42.0,7.56,4.7,146.3,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
133.3,314.8,51.6,25.0,121.9,33.1,2.44,28.1,10.4,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
224.2,23.4,129.6,3.6,182.7,37.9,2.42,73.8,63.7,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
285.2,440.6,185.2,44.3,219.4,30.8,3.88,92.0,9.8,Severe,Very Poor,Severe,Severe,Severe,Severe
384.7,238.0,112.8,148.3,219.6,3.3,2.47,96.1,9.4,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
259.3,40.7,185.4,89.8,101.6,17.6,9.74,9.6,89.2,Severe,Very Poor,Moderate,Severe,Severe,Severe
35.4,437.2,127.3,104.7,198.1,3.8,4.45,53.4,65.4,Severe,Very Poor,Very Poor,Severe,Severe,Severe
23.3,297.6,133.5,128.1,78.9,29.5,3.23,81.8,199.6,Poor,Very Poor,Poor,Poor,Poor,Poor
60.4,147.0,86.5,105.1,143.2,33.3,8.94,92.3,132.4,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
447.0,456.1,55.1,21.5,39.7,1.1,3.22,7.4,64.6,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
477.1,441.7,142.2,61.3,37.1,27.0,5.18,36.6,168.2,Severe,Very Poor,Severe,Severe,Severe,Severe
218.8,76.6,121.8,118.7,1.5,20.5,2.39,78.2,89.1,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
473.7,346.8,78.1,107.3,86.4,34.6,5.8,68.1,31.3,Poor,Very Poor,Moderate,Poor,Poor,Poor
350.2,513.5,124.6,33.0,141.3,32.6,6.93,38.6,57.2,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
443.0,599.5,158.3,33.1,126.2,38.7,4.67,13.5,135.4,Moderate,Very Poor,Severe,Moderate,Moderate,Satisfactory
473.4,13.8,97.8,63.5,173.9,35.2,6.85,59.7,196.2,Poor,Very Poor,Poor,Poor,Poor,Poor
309.6,165.9,30.6,84.1,34.8,7.8,7.75,10.3,136.6,Severe,Very Poor,Poor,Severe,Severe,Severe
418.9,217.0,80.7,10.5,174.3,17.0,4.38,64.9,168.8,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
381.9,258.4,185.5,93.8,223.5,30.0,9.4,66.2,89.6,Poor,Very Poor,Moderate,Poor,Poor,Poor
281.6,567.7,101.1,58.6,7.8,33.6,8.88,77.7,171.6,Severe,Very Poor,Severe,Severe,Severe,Severe
195.5,586.2,62.9,64.2,142.4,44.2,3.1,24.2,120.5,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
255.6,538.7,41.0,55.6,248.2,38.2,1.6,56.0,157.1,Severe,Very Poor,Severe,Severe,Severe,Severe
178.0,215.6,161.3,141.9,41.7,0.1,0.1,69.8,170.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
198.7,194.2,130.3,17.4,163.8,24.6,4.85,97.0,111.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
280.1,467.0,113.8,60.7,156.3,18.5,3.58,27.3,78.5,Severe,Very Poor,Severe,Severe,Severe,Severe
66.2,424.5,57.5,136.1,222.4,39.9,1.16,60.5,37.8,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor
443.2,338.8,131.1,92.7,174.8,28.2,6.76,34.0,139.5,Poor,Very Poor,Severe,Poor,Poor,Poor
164.2,414.7,183.0,95.6,165.5,26.1,8.5,77.4,117.7,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
426.6,441.8,145.9,108.9,23.6,6.1,9.99,19.1,17.0,Severe,Very Poor,Severe,Severe,Severe,Severe
82.1,386.4,57.3,81.2,104.7,48.7,8.62,71.1,0.1,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
247.1,471.6,55.0,110.7,201.7,37.9,6.14,10.1,4.0,Severe,Very Poor,Severe,Severe,Severe,Satisfactory
266.3,344.0,6.2,104.9,185.6,17.8,9.41,16.8,129.7,Severe,Very Poor,Severe,Severe,Severe,Severe
361.0,282.1,152.2,103.7,246.5,15.0,8.65,75.6,104.8,Poor,Very Poor,Moderate,Poor,Poor,Poor
20.2,52.4,83.5,70.9,154.7,33.0,5.05,48.7,124.1,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
293.0,385.5,82.4,109.8,78.5,20.8,1.73,86.8,97.4,Severe,Very Poor,Severe,Severe,Severe,Severe
76.2,378.9,122.0,127.2,242.6,45.4,8.03,53.9,74.4,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
243.2,307.0,198.4,90.2,246.6,7.8,6.99,72.9,109.0,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
463.9,251.9,7.4,111.4,187.3,22.5,7.19,11.3,95.6,Poor,Very Poor,Moderate,Poor,Poor,Poor
313.0,279.0,15.4,59.8,136.9,2.0,5.78,95.1,2.6,Severe,Very Poor,Moderate,Severe,Severe,Severe
60.1,34.2,102.9,46.7,42.0,19.3,0.2,99.5,10.8,Moderate,Very Poor,Satisfactory,Poor,Moderate,Moderate
346.5,20.8,50.6,105.6,197.5,12.5,7.25,92.9,103.5,Severe,Very Poor,Moderate,Severe,Severe,Severe
322.1,361.6,114.4,10.7,92.4,3.4,1.01,93.8,169.8,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
74.7,595.5,85.4,29.5,201.4,34.8,9.65,86.8,143.4,Moderate,Very Poor,Very Poor,Moderate,Moderate,Satisfactory
219.4,31.4,171.0,87.5,190.8,33.0,1.23,96.9,193.8,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
39.9,337.5,62.8,132.3,29.8,12.5,4.84,12.3,166.5,Poor,Very Poor,Poor,Poor,Poor,Poor
486.0,173.1,99.7,81.5,116.6,0.4,6.86,67.4,64.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
34.0,423.9,86.8,142.8,170.9,37.5,7.29,6.7,196.4,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
393.3,284.5,168.0,135.2,0.4,46.8,1.66,70.9,39.8,Poor,Very Poor,Moderate,Poor,Poor,Poor
210.9,177.5,109.6,59.5,120.8,34.2,3.38,64.0,20.4,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
331.9,487.1,11.9,56.5,188.5,25.2,7.17,85.7,24.6,Severe,Very Poor,Severe,Severe,Severe,Severe
181.2,420.1,196.2,118.1,203.3,44.5,7.49,66.7,3.9,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
282.5,371.6,186.4,45.7,16.7,31.9,4.58,83.4,145.3,Severe,Very Poor,Poor,Severe,Severe,Severe
121.6,19.3,61.4,88.2,59.0,19.2,2.07,28.5,24.1,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
405.7,209.4,59.5,45.6,8.8,2.4,3.76,52.2,67.7,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
367.5,325.1,163.2,107.6,27.0,17.5,3.8,23.2,10.6,Poor,Very Poor,Moderate,Poor,Poor,Poor
328.2,599.1,162.7,88.1,59.0,37.1,8.81,89.8,125.2,Severe,Very Poor,Severe,Severe,Severe,Satisfactory
471.8,132.0,107.1,70.8,83.0,42.2,0.2,48.8,100.2,Moderate,Very Poor,Satisfactory,Moderate,Moderate,Moderate
148.7,189.4,84.1,65.9,92.7,45.3,4.13,13.5,135.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
422.9,80.3,13.1,139.5,19.2,34.1,0.65,10.8,89.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
273.9,182.3,145.0,134.7,55.9,15.4,3.58,69.0,58.2,Severe,Very Poor,Moderate,Severe,Severe,Severe
211.0,132.9,29.5,40.7,247.7,47.9,9.08,29.9,189.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
246.9,296.2,2.7,54.6,78.4,2.0,2.69,48.8,133.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
17.4,75.3,153.0,3.0,138.3,34.8,5.95,64.8,3.8,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
386.3,286.4,147.3,48.2,91.4,29.1,8.61,81.9,67.1,Poor,Very Poor,Moderate,Poor,Poor,Poor
282.5,74.0,63.7,48.9,0.3,30.8,2.78,44.1,106.8,Severe,Very Poor,Moderate,Severe,Severe,Severe
143.5,171.1,52.2,16.8,207.0,30.2,7.58,22.2,122.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
408.1,394.5,114.2,18.5,80.9,15.5,7.08,34.4,101.4,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
70.7,546.6,152.3,49.2,240.0,4.6,8.32,19.5,172.7,Poor,Very Poor,Poor,Poor,Poor,Poor
92.8,354.9,142.8,140.0,7.6,43.4,7.77,53.5,173.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
354.2,271.4,8.3,116.5,203.3,16.3,0.39,49.8,112.2,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
354.9,94.4,86.5,129.2,178.4,25.4,9.41,0.8,133.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
267.2,321.4,53.0,59.6,197.9,11.8,7.15,3.5,69.8,Severe,Very Poor,Moderate,Severe,Severe,Severe
114.1,169.2,127.6,38.2,186.9,35.9,8.7,82.1,134.1,Poor,Very Poor,Poor,Poor,Poor,Poor
318.5,537.0,104.1,110.5,45.4,8.7,8.21,42.4,194.8,Severe,Very Poor,Severe,Severe,Severe,Severe
79.4,368.5,68.2,60.3,119.5,43.5,4.89,84.6,49.6,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
83.8,269.0,127.7,105.8,200.0,42.3,2.4,80.5,152.4,Poor,Very Poor,Poor,Poor,Poor,Poor
309.0,191.3,125.4,116.0,226.6,42.6,8.83,71.9,61.5,Severe,Very Poor,Moderate,Severe,Severe,Severe
164.6,248.9,175.9,96.1,115.0,46.5,3.27,72.0,85.4,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
466.5,212.6,7.6,148.1,244.4,13.2,3.97,37.0,149.8,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
27.0,567.0,170.6,144.6,235.0,24.6,5.42,12.7,4.0,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
363.6,264.0,27.3,23.2,174.1,7.0,9.25,33.2,182.0,Poor,Very Poor,Poor,Poor,Poor,Poor
477.7,21.9,61.3,39.8,230.3,38.9,3.81,0.0,47.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
140.2,41.2,178.3,59.3,68.3,0.7,8.77,19.2,168.4,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
39.4,414.2,64.5,35.7,70.1,49.2,6.17,31.8,96.6,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
96.0,434.7,0.1,49.9,74.8,19.3,7.85,79.2,120.6,Severe,Very Poor,Very Poor,Severe,Severe,Severe
416.1,250.2,71.9,4.7,198.6,41.8,6.1,90.7,65.8,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
36.5,92.2,41.2,13.1,42.8,27.9,8.81,31.2,54.9,Moderate,Very Poor,Very Poor,Moderate,Moderate,Very Poor
331.9,170.0,119.8,56.5,24.6,46.9,1.14,10.7,77.1,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
376.1,115.4,58.0,106.7,181.2,45.2,1.77,70.8,43.5,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
245.5,483.8,91.9,56.7,114.5,1.7,2.51,47.3,189.1,Severe,Very Poor,Poor,Severe,Severe,Severe
266.7,199.6,165.8,64.4,119.8,0.8,0.83,58.8,5.5,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
220.7,542.5,173.7,99.6,33.8,42.4,2.78,11.0,186.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
240.8,19.6,84.5,147.3,29.5,8.3,8.29,27.4,107.7,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
16.1,374.6,187.2,111.8,132.3,48.0,7.93,63.7,21.9,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
112.2,190.0,107.5,111.0,147.2,19.5,4.46,80.6,124.9,Poor,Very Poor,Poor,Poor,Poor,Poor
398.5,271.2,24.8,109.4,71.3,22.7,6.88,33.1,46.0,Poor,Very Poor,Moderate,Poor,Poor,Poor
76.7,104.0,47.3,139.8,171.4,4.6,3.56,26.0,82.4,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
499.9,73.4,49.6,128.4,223.6,40.0,8.54,57.4,136.9,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
460.9,453.7,2.0,111.3,131.4,7.2,1.11,71.6,40.6,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
414.3,27.3,140.4,121.0,179.9,30.2,3.85,33.4,91.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
131.9,157.2,49.3,143.8,15.7,5.0,5.29,94.2,48.5,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
445.8,179.7,134.7,57.9,31.1,43.3,1.54,57.9,192.2,Poor,Very Poor,Poor,Poor,Poor,Poor
196.6,143.8,133.3,79.6,16.1,44.4,1.49,68.3,42.0,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
213.1,159.8,7.9,70.1,171.0,33.1,5.27,52.0,47.7,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
172.9,142.2,150.0,22.2,182.8,24.7,9.9,0.8,4.4,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Moderate
12.4,383.7,137.7,41.3,212.8,44.3,6.75,62.3,174.4,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
246.6,489.0,31.9,139.9,232.5,16.2,7.54,13.5,133.1,Severe,Very Poor,Severe,Severe,Severe,Severe
354.8,232.9,66.0,3.0,127.4,45.2,2.72,34.1,149.3,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
484.2,116.0,122.7,131.7,16.9,32.5,0.02,1.7,107.5,Moderate,Very Poor,Moderate,Satisfactory,Moderate,Severe
200.1,546.1,108.7,93.3,229.4,45.4,2.5,50.6,14.1,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
201.3,454.0,30.8,23.7,54.6,36.2,7.43,33.1,163.6,Severe,Very Poor,Poor,Severe,Severe,Severe
74.7,266.9,8.2,48.9,110.7,12.5,1.73,80.4,25.6,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
440.1,137.4,135.6,112.3,16.6,18.7,2.17,17.0,88.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
102.4,319.0,18.4,26.3,234.8,1.8,6.79,58.5,143.1,Poor,Very Poor,Poor,Poor,Poor,Poor
44.4,76.9,147.3,129.7,143.7,30.0,3.32,52.9,150.7,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
23.0,150.3,0.3,14.6,33.0,12.1,0.1,76.7,196.8,Poor,Very Poor,Poor,Poor,Poor,Poor
410.6,60.0,31.4,11.4,124.8,37.6,3.6,83.0,153.6,Moderate,Very Poor,Poor,Moderate,Moderate,Poor
322.4,572.9,146.2,86.1,218.3,1.9,8.36,94.1,140.7,Severe,Very Poor,Severe,Severe,Severe,Severe
309.7,144.4,118.3,100.4,40.7,17.4,3.86,49.1,163.4,Severe,Very Poor,Poor,Severe,Severe,Severe
309.4,127.6,131.8,45.4,203.3,26.1,8.96,0.6,9.7,Severe,Very Poor,Moderate,Severe,Severe,Satisfactory
195.3,321.0,170.7,126.7,134.1,30.2,7.46,27.9,114.4,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
341.7,69.1,45.2,26.6,161.0,40.6,9.39,75.1,150.0,Severe,Very Poor,Poor,Severe,Severe,Severe
432.3,376.3,161.2,147.8,180.0,8.6,1.48,83.2,8.1,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
191.9,322.1,38.5,142.2,200.2,40.8,4.05,17.7,63.8,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
395.7,543.2,33.9,114.3,81.6,14.2,8.21,90.1,197.0,Poor,Very Poor,Severe,Poor,Poor,Poor
94.3,164.8,178.5,130.2,133.2,21.7,5.26,16.0,181.5,Poor,Very Poor,Poor,Poor,Poor,Poor
6.8,501.1,45.6,21.1,85.5,1.1,1.0,0.7,137.0,Moderate,Very Poor,Satisfactory,Moderate,Moderate,Poor
80.5,113.1,132.0,17.6,27.5,26.0,5.57,16.5,69.8,Moderate,Very Poor,Very Poor,Moderate,Moderate,Poor
477.6,59.1,17.6,130.4,224.1,7.1,6.27,26.1,140.1,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
460.9,235.1,59.1,70.3,171.7,46.9,2.12,73.3,181.5,Poor,Very Poor,Poor,Poor,Poor,Poor
278.5,508.8,90.4,7.2,5.1,46.0,1.98,88.8,13.2,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
52.2,336.0,53.0,81.8,19.2,48.1,5.4,5.6,82.2,Poor,Very Poor,Very Poor,Poor,Poor,Poor
181.4,258.6,96.9,17.9,238.8,44.3,6.5,32.1,134.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Poor
212.0,137.6,3.7,58.4,163.3,15.5,7.62,49.8,64.7,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
333.8,398.4,180.3,111.4,247.9,10.1,0.87,39.0,46.2,Severe,Very Poor,Satisfactory,Severe,Severe,Very Poor
189.0,219.6,143.1,124.5,245.8,13.9,9.57,75.7,12.4,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
387.7,57.9,146.8,37.0,248.9,32.4,6.99,34.4,20.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
54.7,508.8,114.8,45.3,175.2,31.1,3.98,52.2,110.2,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
277.1,493.6,116.7,117.0,59.2,35.6,1.76,73.6,55.5,Severe,Very Poor,Severe,Severe,Severe,Severe
162.3,372.2,73.1,9.1,174.4,10.3,1.01,26.8,21.1,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
5.4,476.2,71.8,134.5,199.6,38.1,8.06,85.5,121.8,Severe,Very Poor,Very Poor,Severe,Severe,Severe
126.3,134.3,136.3,27.6,63.5,48.3,7.68,42.4,150.1,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
212.2,522.1,7.8,109.7,38.2,1.5,6.52,48.3,125.7,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
209.9,503.2,84.2,48.5,151.6,17.9,6.39,79.1,56.7,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
44.6,398.4,139.0,50.0,219.0,46.9,4.83,77.6,112.9,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
427.4,570.6,127.0,72.2,26.7,44.7,1.42,99.6,114.2,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
439.4,156.4,8.9,23.7,87.7,28.2,9.94,33.4,107.7,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
453.3,300.5,63.9,12.9,103.1,8.8,3.55,11.3,139.4,Poor,Very Poor,Severe,Poor,Poor,Poor
160.9,118.8,166.9,46.4,247.2,1.5,0.3,68.4,133.2,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
24.5,273.6,39.6,97.8,165.6,11.8,9.9,38.7,141.5,Poor,Very Poor,Very Poor,Poor,Poor,Poor
435.4,415.7,46.0,148.5,94.8,44.3,3.65,54.2,62.4,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
498.2,362.4,74.1,73.0,124.3,21.3,1.11,15.2,194.1,Very Poor,Very Poor,Poor,Poor,Very Poor,Poor
112.1,90.2,55.2,9.7,158.5,22.6,8.93,13.7,45.6,Poor,Very Poor,Moderate,Poor,Poor,Poor
387.1,579.5,192.0,127.3,21.7,6.5,2.07,67.4,167.0,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
28.9,53.5,82.3,73.9,95.1,21.7,8.89,52.2,154.4,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
473.5,451.0,83.6,132.3,163.5,8.9,6.77,34.1,37.9,Severe,Very Poor,Severe,Severe,Severe,Severe
415.8,12.8,28.3,79.4,93.3,20.4,4.63,61.2,12.5,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
88.9,33.7,102.5,66.9,134.9,17.8,1.54,13.2,122.9,Moderate,Very Poor,Poor,Poor,Moderate,Moderate
46.2,456.1,182.6,105.7,160.7,25.3,9.53,61.0,109.0,Severe,Very Poor,Very Poor,Severe,Severe,Severe
223.5,263.3,98.6,33.0,184.3,48.1,6.97,75.9,41.2,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
444.9,40.3,183.7,21.0,102.1,45.4,9.41,49.6,48.4,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
394.0,450.9,124.2,118.9,83.8,6.4,4.12,89.3,107.2,Severe,Very Poor,Severe,Severe,Severe,Severe
79.3,400.1,82.8,148.3,25.4,18.8,0.84,47.8,111.1,Very Poor,Very Poor,Very Poor,Severe,Very Poor,Very Poor
9.7,185.6,158.4,139.8,151.7,43.6,0.25,59.7,3.6,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
11.9,509.9,110.2,92.5,164.6,24.7,9.95,29.7,188.7,Poor,Very Poor,Poor,Poor,Poor,Poor
287.6,102.0,97.4,124.8,87.6,6.6,6.35,16.4,27.7,Severe,Very Poor,Moderate,Severe,Severe,Severe
191.0,310.6,148.3,27.1,232.6,5.1,0.29,29.3,13.0,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
255.6,365.3,199.6,72.4,113.6,4.2,1.59,65.1,94.4,Severe,Very Poor,Severe,Severe,Severe,Severe
468.0,428.8,163.5,104.4,165.8,17.6,1.52,20.5,186.0,Very Poor,Very Poor,Severe,Poor,Very Poor,Very Poor
452.5,405.0,100.5,56.6,38.3,49.7,4.93,17.3,175.4,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
69.5,542.7,196.2,87.2,245.1,34.4,4.74,98.8,141.7,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
413.8,169.7,115.8,62.9,156.6,19.3,5.32,33.7,135.7,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
293.6,363.5,141.9,64.5,185.9,39.8,7.11,98.5,96.9,Severe,Very Poor,Severe,Severe,Severe,Severe
132.1,77.2,171.1,111.5,113.1,14.9,6.67,84.5,175.0,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
419.3,363.3,124.3,6.4,185.3,24.9,1.36,32.0,141.9,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
26.4,499.6,151.5,144.0,29.7,22.1,0.09,34.0,199.3,Severe,Very Poor,Poor,Moderate,Severe,Poor
318.7,36.8,166.5,30.9,22.5,41.3,0.86,23.6,93.0,Severe,Very Poor,Good,Moderate,Severe,Very Poor
12.7,275.7,104.8,6.8,165.1,42.4,1.56,87.8,163.4,Poor,Very Poor,Poor,Poor,Poor,Poor
95.3,278.6,168.2,142.4,36.6,13.5,2.68,46.9,65.2,Poor,Very Poor,Very Poor,Poor,Poor,Poor
464.0,431.0,6.8,96.2,137.3,14.9,5.73,27.1,151.4,Severe,Very Poor,Severe,Severe,Severe,Severe
152.2,166.1,181.3,95.5,131.8,19.8,5.67,45.7,127.5,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
149.5,216.1,198.1,109.3,176.4,21.6,2.52,52.4,29.1,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
418.0,448.4,48.8,128.2,98.4,19.9,3.38,73.3,76.9,Severe,Very Poor,Severe,Severe,Severe,Severe
373.6,478.0,149.1,8.4,70.3,19.4,2.28,46.8,85.9,Severe,Very Poor,Satisfactory,Severe,Severe,Very Poor
384.6,280.3,153.8,82.6,62.4,11.0,8.11,9.5,110.9,Poor,Very Poor,Moderate,Poor,Poor,Poor
118.0,518.9,22.9,94.7,185.6,38.1,2.88,77.5,53.7,Poor,Very Poor,Very Poor,Poor,Poor,Poor
225.9,209.9,151.7,46.0,32.8,34.3,0.83,80.4,134.5,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
448.9,40.3,88.0,23.7,129.1,8.4,4.38,63.6,17.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
92.9,445.5,130.5,124.0,16.9,38.7,4.78,27.3,68.2,Severe,Very Poor,Very Poor,Severe,Severe,Severe
473.7,104.8,60.1,37.9,182.1,2.0,3.26,29.3,81.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
475.3,55.3,168.9,4.5,153.1,43.1,8.65,33.2,82.2,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
360.8,486.8,182.7,29.7,22.6,31.0,3.04,62.1,138.1,Severe,Very Poor,Severe,Severe,Severe,Severe
